,C,I,Q
2011-03-01,23.9,5.5,0.21448370649523388
2011-04-01,23.8,5.7,0.21631893193842097
2011-05-01,23.5,5.9,0.21556711262029163
2011-06-01,23.3,5.9,0.21588266551847277
2011-07-01,23.2,6.1,0.21338003147048373
2011-08-01,23.4,6.3,0.2142054660256966
2011-09-01,23.9,6.4,0.21630967894994374
2011-10-01,24.4,6.5,0.21799100058123969
2011-11-01,24.3,6.6,0.21826221719785385
2011-12-01,24.3,6.7,0.21331410879746057
2012-01-01,24.2,6.9,0.21806653595598002
2012-02-01,24.2,7.0,0.2219530188435359
2012-03-01,24.3,7.0,0.22150582395277613
2012-04-01,24.2,7.1,0.22212333259424535
2012-05-01,24.2,7.2,0.22076975388353595
2012-06-01,24.0,7.1,0.21972005108711626
2012-07-01,23.8,7.2,0.21771959147448516
2012-08-01,23.4,7.2,0.21631590914832874
2012-09-01,23.3,7.2,0.22040913153171432
2012-10-01,23.2,7.1,0.2193257789363551
2012-11-01,23.2,7.0,0.21845169373046133
2012-12-01,23.1,6.9,0.2113327832216916
2013-01-01,23.1,6.8,0.21050588006051993
2013-02-01,23.1,6.7,0.21469246252032462
2013-03-01,22.9,6.6,0.214597665058659
2013-04-01,22.8,6.5,0.215024108630904
2013-05-01,22.3,6.6,0.2136504283411237
2013-06-01,22.2,6.3,0.2142377228564658
2013-07-01,22.2,6.2,0.2123923622042895
2013-08-01,22.2,6.1,0.2130640498279781
2013-09-01,22.3,6.1,0.21613538321774572
2013-10-01,22.3,5.9,0.21538183222885995
2013-11-01,22.4,5.8,0.21498836836357288
2013-12-01,22.7,5.8,0.2094029707921079
2014-01-01,22.6,5.7,0.212483990941346
2014-02-01,22.6,5.6,0.22015502625661457
2014-03-01,22.5,5.6,0.2223286212692439
2014-04-01,22.6,5.7,0.22526911742309882
2014-05-01,22.7,5.8,0.22476229171894854
2014-06-01,22.8,5.7,0.22728368409202285
2014-07-01,22.8,5.7,0.2245953528713353
2014-08-01,22.7,5.7,0.2246822722198572
2014-09-01,22.7,5.7,0.2253268412878366
2014-10-01,22.7,5.7,0.22379654977338787
2014-11-01,23.1,5.5,0.22215798438111026
2014-12-01,23.5,5.4,0.21446463559875523
2015-01-01,23.9,5.4,0.21850218806404065
2015-02-01,24.1,5.4,0.2233877085041337
2015-03-01,24.0,5.2,0.22288854873323094
2015-04-01,24.2,5.3,0.22599529083723113
2015-05-01,24.2,5.5,0.22625985254275716
2015-06-01,24.3,5.4,0.22691613861686324
2015-07-01,24.3,5.5,0.2255116135295384
2015-08-01,24.4,5.7,0.22680259676358505
2015-09-01,24.6,5.8,0.22776939451069525
2015-10-01,24.2,5.8,0.22858078734149256
2015-11-01,23.7,6.0,0.22847958935768614
2015-12-01,23.0,6.2,0.22128334330849064
2016-01-01,23.3,6.3,0.22502719807033578
2016-02-01,23.4,6.3,0.22909601420363868
2016-03-01,23.7,6.2,0.2286275552957955
2016-04-01,23.7,6.3,0.23137279502170477
2016-05-01,24.0,6.4,0.23085925023954007
2016-06-01,24.0,6.2,0.23008334270470193
2016-07-01,23.8,6.3,0.2285257396057603
2016-08-01,23.8,6.3,0.2274993688070017
2016-09-01,23.8,6.3,0.22842179223329032
2016-10-01,23.7,6.2,0.22780450381783796
2016-11-01,23.6,6.2,0.2246004883263343
2016-12-01,23.2,6.1,0.2153890943542398
2017-01-01,23.2,6.1,0.21822189566495223
2017-02-01,23.0,6.0,0.22061222341262224
2017-03-01,22.9,6.0,0.21873133363302152
2017-04-01,22.5,5.9,0.22020600091781362
2017-05-01,22.2,6.0,0.2194252358311471
2017-06-01,22.2,5.8,0.21784688907717722
2017-07-01,22.3,5.8,0.21640681695102937
2017-08-01,22.7,5.8,0.21485107156485908
2017-09-01,22.8,5.7,0.21374091754606692
2017-10-01,22.6,5.6,0.21377651286556182
2017-11-01,22.3,5.5,0.21148350312388778
2017-12-01,22.1,5.3,0.20303775032035393
2018-01-01,21.9,5.3,0.20564363626238744
2018-02-01,21.9,5.2,0.21042308019339878
2018-03-01,22.0,5.2,0.208667212909856
2018-04-01,22.2,5.2,0.20968119346557867
2018-05-01,22.5,5.1,0.2081073803542761
2018-06-01,22.9,5.0,0.2088539270466073
2018-07-01,22.4,5.1,0.2064769212507251
2018-08-01,22.1,5.1,0.2050179116447231
2018-09-01,22.2,5.0,0.20447453674565896
2018-10-01,22.2,5.0,0.20543793175451114
2018-11-01,22.3,4.9,0.20354087502918886
2018-12-01,22.6,4.9,0.19877799852462863
2019-01-01,22.8,4.9,0.2029309496048711
2019-02-01,23.0,4.8,0.20698625429907863
2019-03-01,23.0,4.8,0.2066115786935035
2019-04-01,23.5,4.8,0.20842210020659388
2019-05-01,23.9,4.9,0.20861940172819984
2019-06-01,25.1,4.9,0.210677075136139
2019-07-01,24.7,4.9,0.20852320617941159
2019-08-01,24.7,4.9,0.20836837077334067
2019-09-01,23.9,5.1,0.20841171816727064
2019-10-01,23.5,5.1,0.20707013916316241
2019-11-01,23.0,5.1,0.2056514741084033
2019-12-01,22.6,5.1,0.1998604286423448
2020-01-01,22.6,5.0,0.20250512448221378
2020-02-01,22.6,5.2,0.20590332808581246
2020-03-01,23.7,5.3,0.20728149967908285
2020-04-01,23.2,5.6,0.21343439798594394
2020-05-01,21.8,5.7,0.2097233441768734
2020-06-01,20.5,5.4,0.20477443269143839
2020-07-01,19.9,5.2,0.19975214080549764
2020-08-01,19.8,4.9,0.195092288385341
2020-09-01,20.0,4.7,0.19265716037892147
2020-10-01,20.5,4.6,0.19120052004894178
2020-11-01,21.3,4.4,0.18659925861061016
2020-12-01,21.8,4.2,0.1831479712166515
2021-01-01,22.2,4.2,0.18721447490135576
2021-02-01,22.0,4.1,0.19181709114260828
2021-03-01,22.3,4.1,0.19389638754239175
2021-04-01,22.4,4.1,0.19558411820650995
2021-05-01,22.8,4.2,0.19578944284102728
2021-06-01,23.0,4.1,0.19719481456991808
2021-07-01,23.3,4.2,0.19766671135141575
2021-08-01,23.6,4.2,0.20101269284365664
2021-09-01,24.5,4.3,0.2048551774359981
2021-10-01,25.2,4.3,0.20869195858142994
2021-11-01,25.5,4.3,0.20923801244762147
2021-12-01,25.6,4.4,0.2087277699243423
2022-01-01,26.0,4.7,0.2174850750035563
2022-02-01,25.6,4.8,0.22285097197851655
2022-03-01,25.4,4.9,0.22329344601293855
2022-04-01,25.6,5.1,0.22446660751405398
2022-05-01,25.4,5.4,0.22507761583344554
2022-06-01,26.0,5.3,0.22619393434075183
2022-07-01,26.5,5.6,0.22694123260580562
2022-08-01,26.9,5.7,0.22710804829557393
2022-09-01,27.2,5.8,0.2295316544408021
2022-10-01,27.2,5.9,0.23021604652619973
2022-11-01,27.3,5.9,0.22974983472377042
2022-12-01,27.6,6.0,0.22712262875072128
2023-01-01,27.7,6.2,0.22966230050845293
2023-02-01,27.7,6.2,0.23374919791969218
2023-03-01,27.7,6.2,0.23140136520468402
2023-04-01,27.8,6.3,0.23445872332609033
2023-05-01,28.0,6.5,0.23379354445070508
2023-06-01,27.8,6.4,0.2313817636993311
2023-07-01,27.3,6.3,0.22928835923646604
2023-08-01,26.9,6.2,0.2296181638858062
2023-09-01,26.8,6.1,0.22766797655818005
2023-10-01,26.8,6.0,0.22818312215479003
2023-11-01,26.5,5.9,0.2273303699795831
2023-12-01,25.8,5.7,0.22239822052708977
2024-01-01,25.7,5.7,0.22699969910419313
2024-02-01,25.8,5.7,0.23079989989031952
2024-03-01,26.1,5.6,0.2309106224989629
2024-04-01,26.1,5.6,0.2313516735410197
2024-05-01,26.0,5.7,0.23062944833656607
2024-06-01,26.4,5.6,0.22949831728501235
2024-07-01,26.5,5.6,0.22870269769889257
2024-08-01,26.7,5.7,0.22978524995607694
2024-09-01,26.5,5.7,0.2319214393587778
2024-10-01,26.4,5.6,0.23201304876365705
2024-11-01,26.4,5.5,0.23071411822942448
2024-12-01,26.8,5.4,0.22815252162965888
2025-01-01,26.7,5.7,0.23361585700515805
2025-02-01,26.8,5.8,0.2378872739647667
2025-03-01,27.0,5.9,0.23990493166963756
2025-04-01,27.1,6.2,0.242166066134934
2025-05-01,27.2,6.4,0.2426195938894051
2025-06-01,27.2,6.5,0.24382794581932096
2025-07-01,27.3,6.7,0.24350616037540213
2025-08-01,27.6,7.0,0.24469723585392691
2025-09-01,27.8,6.9,0.24611477344878574
2025-10-01,27.9,6.9,0.24813749027546572
2025-11-01,27.9,6.9,0.24765908507149115
2025-12-01,28.1,7.1,0.24298946436750005
2026-01-01,28.3,7.2,0.24735279131398455
2026-02-01,28.3,7.4,0.2514689798394417
2026-03-01,28.2,7.2,0.2482915491357856
2026-04-01,28.2,7.4,0.2495047632536906
