,C_norm,I_norm,Q_norm,index
2011-03-01,,,,
2011-04-01,,,,
2011-05-01,,,,
2011-06-01,,,,
2011-07-01,,,,
2011-08-01,,,,
2011-09-01,,,,
2011-10-01,,,,
2011-11-01,,,,
2011-12-01,,,,
2012-01-01,,,,
2012-02-01,,,,
2012-03-01,,,,
2012-04-01,,,,
2012-05-01,,,,
2012-06-01,,,,
2012-07-01,,,,
2012-08-01,,,,
2012-09-01,,,,
2012-10-01,,,,
2012-11-01,,,,
2012-12-01,,,,
2013-01-01,,,,
2013-02-01,,,,
2013-03-01,,,,
2013-04-01,,,,
2013-05-01,,,,
2013-06-01,,,,
2013-07-01,,,,
2013-08-01,,,,
2013-09-01,,,,
2013-10-01,,,,
2013-11-01,,,,
2013-12-01,,,,
2014-01-01,0.18181818181818285,0.11764705882352951,0.24221167582830824,0.18055897215667352
2014-02-01,0.18181818181818285,0.05882352941176449,0.8452633369830688,0.3619683494043387
2014-03-01,0.13636363636363674,0.05882352941176449,1.0,0.39839572192513373
2014-04-01,0.18181818181818285,0.11764705882352951,1.0,0.43315508021390414
2014-05-01,0.22727272727272735,0.176470588235294,0.9680561565490443,0.45726649068568853
2014-06-01,0.2727272727272735,0.11764705882352951,1.0,0.46345811051693436
2014-07-01,0.2727272727272735,0.11764705882352951,0.8496519028298313,0.4133420781268781
2014-08-01,0.22727272727272735,0.11764705882352951,0.8545129700067381,0.39981091870099833
2014-09-01,0.22727272727272735,0.11764705882352951,0.8905612560660224,0.4118270140540931
2014-10-01,0.22727272727272735,0.11764705882352951,0.8049778965668238,0.38329922755436024
2014-11-01,0.40909090909091017,0.0,0.713339192629582,0.374143367240164
2014-12-01,0.5909090909090914,0.0,0.28307957975431564,0.2913295568878023
2015-01-01,0.7727272727272727,0.0,0.5088844678235531,0.4272039135169419
2015-02-01,0.8636363636363649,0.0,0.7821129659347716,0.5485831098570455
2015-03-01,0.8181818181818188,0.0,0.7541968664744032,0.5241262282187407
2015-04-01,0.9090909090909094,0.04999999999999982,0.9279450862400527,0.629011998443654
2015-05-01,0.9090909090909094,0.1499999999999999,0.9427410119443859,0.6672773070117651
2015-06-01,0.9545454545454555,0.10000000000000009,0.9794445854035727,0.6779966799830094
2015-07-01,0.9545454545454555,0.1499999999999999,0.9008948618122039,0.6684801054525531
2015-08-01,1.0,0.25,0.9730946232195287,0.7410315410731761
2015-09-01,1.0,0.2999999999999998,1.0,0.7666666666666666
2015-10-01,0.8333333333333326,0.2999999999999998,1.0,0.7111111111111108
2015-11-01,0.6249999999999994,0.3999999999999999,0.9947231748960665,0.6732410582986886
2015-12-01,0.3333333333333333,0.5,0.6194851476334481,0.4842728269889271
2016-01-01,0.45833333333333354,0.5499999999999998,0.814703135677309,0.6076788230035475
2016-02-01,0.4999999999999993,0.5499999999999998,1.0,0.683333333333333
2016-03-01,0.6249999999999994,0.5,0.976211959824916,0.7004039866083053
2016-04-01,0.6249999999999994,0.5499999999999998,1.0,0.7249999999999998
2016-05-01,0.7499999999999997,0.6000000000000001,0.9766249935913064,0.7755416645304353
2016-06-01,0.7499999999999997,0.5,0.9413080276142702,0.7304360092047566
2016-07-01,0.6666666666666666,0.5499999999999998,0.8704106420610767,0.6956924362425809
2016-08-01,0.6666666666666666,0.5499999999999998,0.8236933452801616,0.680120003982276
2016-09-01,0.6666666666666666,0.5499999999999998,0.8656792718241696,0.6941153128302786
2016-10-01,0.6249999999999994,0.5,0.8375821687703922,0.6541940562567973
2016-11-01,0.5833333333333337,0.5,0.6917450670248385,0.5916928001193907
2016-12-01,0.4166666666666663,0.44999999999999973,0.2724702528146602,0.37971230649377546
2017-01-01,0.4166666666666663,0.44999999999999973,0.40141080696329956,0.42269249120998853
2017-02-01,0.3333333333333333,0.3999999999999999,0.5102113018006617,0.4145148783779982
2017-03-01,0.29166666666666613,0.3999999999999999,0.424598883606307,0.3720885167576577
2017-04-01,0.1250000000000002,0.3500000000000001,0.4917212815545563,0.3222404271848522
