,comprometimento_renda,inadimplencia,total_credito_pf,cheque_especial,credito_pessoal_nc,cartao_rotativo,cartao_parcelado
2011-03-01,23.9,5.5,563875.0,21204.0,67845.0,24356.0,7537.0
2011-04-01,23.8,5.7,570454.0,21579.0,69215.0,25202.0,7404.0
2011-05-01,23.5,5.9,578386.0,22187.0,70433.0,24286.0,7775.0
2011-06-01,23.3,5.9,585267.0,22484.0,72007.0,23960.0,7898.0
2011-07-01,23.2,6.1,591030.0,21550.0,72312.0,24035.0,8217.0
2011-08-01,23.4,6.3,599924.0,22468.0,73732.0,23842.0,8465.0
2011-09-01,23.9,6.4,606977.0,22628.0,75579.0,24648.0,8440.0
2011-10-01,24.4,6.5,612484.0,23487.0,76862.0,24936.0,8231.0
2011-11-01,24.3,6.6,620089.0,22977.0,78388.0,25474.0,8503.0
2011-12-01,24.3,6.7,626283.0,20864.0,79699.0,24115.0,8917.0
2012-01-01,24.2,6.9,632440.0,23321.0,80563.0,24848.0,9182.0
2012-02-01,24.2,7.0,634382.0,24219.0,81719.0,25622.0,9243.0
2012-03-01,24.3,7.0,638999.0,24125.0,82674.0,25384.0,9359.0
2012-04-01,24.2,7.1,644939.0,24967.0,83607.0,25859.0,8823.0
2012-05-01,24.2,7.2,654365.0,24438.0,85042.0,25837.0,9147.0
2012-06-01,24.0,7.1,660049.0,23766.0,85986.0,25911.0,9363.0
2012-07-01,23.8,7.2,665907.0,24044.0,86035.0,25295.0,9607.0
2012-08-01,23.4,7.2,672877.0,23861.0,86896.0,25283.0,9514.0
2012-09-01,23.3,7.2,670249.0,23462.0,88538.0,26162.0,9567.0
2012-10-01,23.2,7.1,676692.0,24103.0,89577.0,25027.0,9709.0
2012-11-01,23.2,7.0,681661.0,23522.0,90505.0,25090.0,9793.0
2012-12-01,23.1,6.9,689557.0,21791.0,89678.0,24412.0,9845.0
2013-01-01,23.1,6.8,697952.0,21957.0,90475.0,24591.0,9900.0
2013-02-01,23.1,6.7,698045.0,22635.0,91368.0,25963.0,9899.0
2013-03-01,22.9,6.6,700660.0,22058.0,92337.0,26057.0,9908.0
2013-04-01,22.8,6.5,707423.0,22953.0,93417.0,25725.0,10018.0
2013-05-01,22.3,6.6,715201.0,22784.0,94355.0,25742.0,9922.0
2013-06-01,22.2,6.3,717390.0,22054.0,95380.0,26401.0,9857.0
2013-07-01,22.2,6.2,724188.0,22440.0,95477.0,25973.0,9922.0
2013-08-01,22.2,6.1,728105.0,22555.0,96232.0,25871.0,10475.0
2013-09-01,22.3,6.1,730903.0,23460.0,97369.0,26471.0,10674.0
2013-10-01,22.3,5.9,735192.0,23420.0,98367.0,25876.0,10684.0
2013-11-01,22.4,5.8,738933.0,22600.0,99152.0,26538.0,10572.0
2013-12-01,22.7,5.8,741957.0,21623.0,97525.0,25563.0,10657.0
2014-01-01,22.6,5.7,748014.0,23101.0,98737.0,26220.0,10883.0
2014-02-01,22.6,5.6,744003.0,25250.0,99375.0,28056.0,11115.0
2014-03-01,22.5,5.6,746665.0,26600.0,100199.0,27922.0,11284.0
2014-04-01,22.6,5.7,748558.0,27187.0,101238.0,28539.0,11663.0
2014-05-01,22.7,5.8,753129.0,26936.0,102202.0,28258.0,11879.0
2014-06-01,22.8,5.7,755030.0,27676.0,102499.0,29475.0,11956.0
2014-07-01,22.8,5.7,756338.0,26794.0,102401.0,28575.0,12100.0
2014-08-01,22.7,5.7,758747.0,26542.0,103032.0,28660.0,12243.0
2014-09-01,22.7,5.7,762985.0,27038.0,103502.0,29244.0,12137.0
2014-10-01,22.7,5.7,768935.0,26870.0,103876.0,29458.0,11881.0
2014-11-01,23.1,5.5,769709.0,25877.0,103660.0,29662.0,11798.0
2014-12-01,23.5,5.4,780870.0,24578.0,102599.0,28510.0,11782.0
2015-01-01,23.9,5.4,785626.0,26535.0,103564.0,29636.0,11926.0
2015-02-01,24.1,5.4,783078.0,26849.0,104265.0,31717.0,12099.0
2015-03-01,24.0,5.2,786568.0,27284.0,105072.0,30646.0,12315.0
2015-04-01,24.2,5.3,786127.0,27528.0,106123.0,31593.0,12417.0
2015-05-01,24.2,5.5,789517.0,27083.0,106832.0,32345.0,12376.0
2015-06-01,24.3,5.4,791592.0,27683.0,107274.0,31949.0,12719.0
2015-07-01,24.3,5.5,794203.0,27039.0,107344.0,31959.0,12760.0
2015-08-01,24.4,5.7,796684.0,27725.0,107916.0,32381.0,12668.0
2015-09-01,24.6,5.8,797223.0,27531.0,108371.0,33153.0,12528.0
2015-10-01,24.2,5.8,796808.0,27568.0,108243.0,34056.0,12268.0
2015-11-01,23.7,6.0,802645.0,27254.0,108331.0,35838.0,11965.0
2015-12-01,23.0,6.2,805334.0,24645.0,107452.0,34507.0,11603.0
2016-01-01,23.3,6.3,804285.0,26020.0,107742.0,35833.0,11391.0
2016-02-01,23.4,6.3,802048.0,27611.0,107726.0,37051.0,11358.0
2016-03-01,23.7,6.2,800739.0,27209.0,108045.0,36388.0,11429.0
2016-04-01,23.7,6.3,797060.0,26335.0,109474.0,37175.0,11434.0
