Data;29033 - Comprometimento de renda das famílias com juros da dívida com o Sistema Financeiro Nacional - Com ajuste sazonal (RNDBF) - %;29034 - Comprometimento de renda das famílias com o serviço da dívida com o Sistema Financeiro Nacional - Com ajuste sazonal (RNDBF) - %;29035 - Comprometimento de renda das famílias com o serviço da dívida com o Sistema Financeiro Nacional exceto crédito habitacional - Com ajuste sazonal (RNDBF) - %;29036 - Comprometimento de renda das famílias com amortização da dívida com o Sistema Financeiro Nacional - Com ajuste sazonal (RNDBF) - %;29037 - Endividamento das famílias com o Sistema Financeiro Nacional em relação à renda acumulada dos últimos doze meses (RNDBF) - %;29038 - Endividamento das famílias com o Sistema Financeiro Nacional exceto crédito habitacional em relação à renda acumulada dos últimos 12 meses (RNDBF) - %;29263 - Comprometimento de renda das famílias com amortização da dívida com o Sistema Financeiro Nacional - Sem ajuste sazonal (RNDBF) - %;29264 - Comprometimento de renda das famílias com juros da dívida com o Sistema Financeiro Nacional - Sem ajuste sazonal (RNDBF) - %;29265 - Comprometimento de renda das famílias com o serviço da dívida com o Sistema Financeiro Nacional - Sem ajuste sazonal (RNDBF) - %;29266 - Comprometimento de renda das famílias com o serviço da dívida com o Sistema Financeiro Nacional exceto crédito habitacional - Sem ajuste sazonal (RNDBF) - %
01/2005;-;-;-;-;16,51 ;13,84 ;-;-;-;-
02/2005;-;-;-;-;16,84 ;14,19 ;-;-;-;-
03/2005;5,07 ;17,00 ;16,61 ;11,93 ;17,20 ;14,56 ;12,01 ;5,14 ;17,15 ;16,78
04/2005;5,11 ;17,20 ;16,85 ;12,09 ;17,60 ;14,96 ;12,57 ;5,40 ;17,97 ;17,59
05/2005;5,19 ;17,42 ;17,09 ;12,23 ;17,96 ;15,32 ;12,82 ;5,52 ;18,34 ;17,98
06/2005;5,25 ;17,55 ;17,21 ;12,30 ;18,12 ;15,48 ;12,48 ;5,41 ;17,89 ;17,54
07/2005;5,33 ;17,71 ;17,33 ;12,38 ;18,40 ;15,74 ;12,19 ;5,31 ;17,50 ;17,17
08/2005;5,46 ;17,93 ;17,54 ;12,47 ;18,85 ;16,19 ;12,23 ;5,37 ;17,60 ;17,23
09/2005;5,61 ;18,29 ;18,01 ;12,68 ;19,11 ;16,43 ;12,64 ;5,58 ;18,22 ;17,87
10/2005;5,73 ;18,55 ;18,20 ;12,82 ;19,37 ;16,68 ;12,85 ;5,74 ;18,59 ;18,22
11/2005;5,73 ;18,63 ;18,29 ;12,90 ;19,61 ;16,92 ;12,80 ;5,69 ;18,49 ;18,12
12/2005;5,80 ;18,68 ;18,31 ;12,88 ;19,56 ;16,84 ;12,61 ;5,56 ;18,17 ;17,81
01/2006;5,83 ;18,68 ;18,36 ;12,85 ;19,89 ;17,14 ;12,48 ;5,51 ;17,99 ;17,63
02/2006;5,88 ;18,95 ;18,53 ;13,07 ;20,11 ;17,36 ;12,92 ;5,71 ;18,63 ;18,25
03/2006;5,93 ;19,28 ;18,87 ;13,35 ;20,45 ;17,66 ;13,45 ;6,01 ;19,46 ;19,07
04/2006;6,00 ;19,53 ;19,16 ;13,53 ;20,78 ;17,96 ;14,00 ;6,31 ;20,31 ;19,90
05/2006;6,02 ;19,56 ;19,19 ;13,54 ;21,07 ;18,23 ;14,13 ;6,35 ;20,48 ;20,08
06/2006;6,00 ;19,55 ;19,16 ;13,55 ;21,16 ;18,28 ;13,74 ;6,16 ;19,90 ;19,51
07/2006;6,02 ;19,50 ;19,10 ;13,48 ;21,39 ;18,47 ;13,32 ;6,00 ;19,32 ;18,94
08/2006;6,10 ;19,65 ;19,22 ;13,55 ;21,65 ;18,71 ;13,31 ;6,00 ;19,31 ;18,91
09/2006;6,03 ;19,51 ;19,14 ;13,48 ;21,74 ;18,81 ;13,41 ;6,00 ;19,41 ;19,01
10/2006;6,01 ;19,43 ;19,06 ;13,42 ;21,85 ;18,89 ;13,44 ;6,03 ;19,47 ;19,09
11/2006;5,94 ;19,26 ;18,90 ;13,32 ;22,07 ;19,08 ;13,22 ;5,91 ;19,13 ;18,75
12/2006;6,09 ;19,50 ;19,08 ;13,41 ;21,98 ;18,99 ;13,14 ;5,87 ;19,01 ;18,64
01/2007;6,12 ;19,39 ;18,98 ;13,27 ;22,28 ;19,24 ;12,90 ;5,81 ;18,71 ;18,32
02/2007;6,11 ;19,27 ;18,83 ;13,16 ;22,48 ;19,43 ;13,02 ;5,94 ;18,96 ;18,57
03/2007;6,09 ;18,93 ;18,52 ;12,84 ;22,04 ;19,07 ;12,96 ;6,17 ;19,13 ;18,72
04/2007;6,11 ;18,75 ;18,36 ;12,64 ;22,36 ;19,38 ;13,08 ;6,42 ;19,50 ;19,10
05/2007;6,18 ;18,56 ;18,17 ;12,38 ;22,88 ;19,87 ;12,95 ;6,51 ;19,46 ;19,04
06/2007;6,27 ;18,87 ;18,47 ;12,60 ;23,09 ;20,05 ;12,82 ;6,43 ;19,25 ;18,85
07/2007;6,39 ;19,23 ;18,83 ;12,84 ;23,57 ;20,52 ;12,72 ;6,36 ;19,08 ;18,70
08/2007;6,43 ;19,43 ;18,97 ;13,00 ;23,77 ;20,68 ;12,74 ;6,33 ;19,07 ;18,66
09/2007;6,40 ;19,29 ;18,93 ;12,89 ;23,97 ;20,85 ;12,76 ;6,36 ;19,12 ;18,73
10/2007;6,38 ;19,28 ;18,90 ;12,90 ;24,56 ;21,41 ;12,90 ;6,40 ;19,30 ;18,89
11/2007;6,39 ;19,43 ;19,04 ;13,04 ;24,88 ;21,70 ;12,95 ;6,38 ;19,33 ;18,92
12/2007;6,35 ;19,37 ;18,95 ;13,02 ;24,96 ;21,74 ;12,74 ;6,14 ;18,88 ;18,49
01/2008;6,46 ;19,62 ;19,19 ;13,16 ;25,29 ;22,05 ;12,81 ;6,17 ;18,98 ;18,59
02/2008;6,55 ;19,85 ;19,47 ;13,30 ;25,50 ;22,24 ;13,19 ;6,33 ;19,52 ;19,10
03/2008;6,67 ;20,24 ;19,80 ;13,57 ;25,99 ;22,68 ;13,74 ;6,79 ;20,53 ;20,09
04/2008;6,70 ;20,41 ;19,97 ;13,71 ;26,45 ;23,09 ;14,13 ;7,00 ;21,13 ;20,67
05/2008;6,70 ;20,44 ;20,01 ;13,74 ;26,80 ;23,39 ;14,28 ;7,02 ;21,30 ;20,86
06/2008;6,72 ;20,41 ;20,00 ;13,69 ;26,92 ;23,44 ;13,96 ;6,89 ;20,85 ;20,42
07/2008;6,76 ;20,47 ;20,03 ;13,71 ;27,15 ;23,60 ;13,62 ;6,73 ;20,35 ;19,91
08/2008;6,82 ;20,58 ;20,12 ;13,76 ;27,25 ;23,63 ;13,46 ;6,69 ;20,15 ;19,72
09/2008;6,91 ;20,64 ;20,22 ;13,73 ;27,41 ;23,70 ;13,50 ;6,82 ;20,32 ;19,86
